epoch	metric	loss	lr	time	iter
2	0.17227	0.70815	0.20000	7.4	64
4	0.27661	0.46243	0.19905	15.3	128
6	0.35862	0.38749	0.19809	22.8	192
8	0.41144	0.33295	0.19712	30.6	256
10	0.46655	0.28979	0.19615	38.4	320
12	0.48330	0.23811	0.19518	46.2	384
14	0.51063	0.22919	0.19420	53.8	448
16	0.53130	0.21437	0.19322	61.6	512
18	0.44178	0.21348	0.19223	69.1	576
20	0.54504	0.20781	0.19124	76.5	640
22	0.55809	0.17802	0.19024	84.3	704
24	0.57133	0.16929	0.18923	91.9	768
28	0.61290	0.14011	0.18721	104.8	896
32	0.67571	0.12749	0.18516	117.9	1024
36	0.68106	0.12272	0.18310	131.0	1152
40	0.69802	0.11039	0.18100	144.4	1280
44	0.63270	0.11175	0.17889	157.5	1408
48	0.70533	0.10588	0.17674	170.7	1536
52	0.73715	0.09694	0.17457	183.5	1664
56	0.74244	0.09564	0.17238	196.4	1792
60	0.78041	0.09047	0.17015	209.3	1920
64	0.80841	0.09006	0.16790	222.4	2048
68	0.68683	0.08597	0.16562	235.5	2176
72	0.77033	0.07603	0.16330	248.2	2304
76	0.73731	0.07699	0.16095	261.3	2432
80	0.78281	0.07437	0.15856	274.2	2560
84	0.80268	0.07111	0.15614	287.3	2688
86	0.80203	0.07650	0.15492	294.8	2752
88	0.80692	0.07274	0.15368	302.4	2816
90	0.80906	0.06853	0.15244	309.8	2880
92	0.79744	0.07550	0.15119	317.3	2944
94	0.78963	0.07671	0.14992	324.6	3008
96	0.79455	0.07228	0.14864	332.0	3072
98	0.79427	0.06810	0.14736	339.6	3136
100	0.79597	0.06768	0.14606	346.9	3200
102	0.80737	0.06431	0.14475	354.4	3264
104	0.81415	0.06561	0.14343	362.0	3328
106	0.79109	0.06978	0.14209	369.7	3392
108	0.82558	0.06512	0.14075	377.1	3456
110	0.79433	0.06054	0.13939	384.6	3520
112	0.80822	0.06383	0.13801	392.1	3584
114	0.79610	0.06614	0.13663	399.7	3648
116	0.83151	0.06045	0.13522	407.1	3712
118	0.82424	0.06272	0.13381	414.7	3776
120	0.79722	0.06349	0.13238	422.2	3840
122	0.80548	0.06493	0.13093	429.5	3904
124	0.82979	0.05852	0.12947	436.7	3968
126	0.81274	0.05933	0.12799	444.2	4032
128	0.83440	0.06214	0.12649	451.6	4096
130	0.82299	0.05710	0.12498	459.3	4160
132	0.80998	0.05422	0.12344	466.8	4224
134	0.82238	0.05439	0.12189	474.3	4288
136	0.83781	0.05516	0.12032	481.7	4352
138	0.83688	0.05417	0.11872	489.5	4416
140	0.82164	0.05421	0.11711	497.0	4480
142	0.83124	0.05435	0.11547	504.6	4544
144	0.83579	0.05376	0.11381	512.0	4608
146	0.83609	0.05186	0.11212	519.7	4672
148	0.83045	0.05195	0.11041	527.1	4736
150	0.81651	0.05145	0.10867	534.6	4800
152	0.83077	0.05082	0.10690	542.3	4864
154	0.81524	0.05163	0.10511	549.7	4928
156	0.78668	0.05242	0.10328	556.9	4992
158	0.84017	0.04924	0.10142	564.3	5056
160	0.85261	0.05084	0.09952	572.0	5120
162	0.79517	0.04837	0.09759	579.6	5184
164	0.81803	0.04969	0.09562	587.0	5248
166	0.82723	0.04884	0.09361	594.5	5312
168	0.81827	0.04692	0.09155	602.0	5376
170	0.83219	0.04924	0.08944	609.4	5440
172	0.83939	0.04758	0.08729	616.9	5504
174	0.84000	0.04701	0.08508	624.8	5568
176	0.83792	0.04677	0.08281	632.3	5632
178	0.83554	0.04471	0.08047	639.9	5696
180	0.83954	0.04596	0.07807	647.3	5760
182	0.83761	0.04342	0.07559	654.7	5824
184	0.84720	0.04474	0.07303	662.3	5888
186	0.84913	0.04441	0.07037	670.0	5952
188	0.85056	0.04417	0.06761	677.6	6016
190	0.84547	0.04284	0.06473	685.1	6080
192	0.83997	0.04375	0.06172	692.9	6144
194	0.80958	0.04271	0.05855	700.6	6208
196	0.84237	0.04301	0.05521	708.0	6272
198	0.84725	0.04122	0.05164	715.5	6336
200	0.85044	0.04165	0.04781	723.1	6400
