epoch	metric	loss	iter	time	train_time	validation_time	epoch_time
25	0.1086	2.8175	400	0.08 hr	30.35s	68.03s	98.49s
55	0.1278	2.6548	880	0.14 hr	27.64s	55.39s	83.11s
85	0.2888	2.3439	1360	0.20 hr	26.40s	55.34s	81.82s
115	0.4177	1.9202	1840	0.26 hr	27.71s	55.33s	83.14s
145	0.4352	1.6181	2320	0.33 hr	26.11s	55.34s	81.55s
170	0.4945	1.6666	2720	0.38 hr	27.93s	55.31s	83.33s
195	0.5963	1.4321	3120	0.44 hr	28.27s	55.36s	83.72s
220	0.6080	1.3189	3520	0.49 hr	28.35s	55.33s	83.77s
245	0.5305	1.1670	3920	0.54 hr	27.68s	55.31s	83.07s
270	0.6711	1.2083	4320	0.60 hr	26.64s	55.33s	82.05s
295	0.5775	1.2973	4720	0.65 hr	26.88s	55.34s	82.30s
320	0.6071	1.0491	5120	0.71 hr	27.27s	55.34s	82.71s
345	0.7305	0.9792	5520	0.76 hr	28.86s	55.34s	84.29s
370	0.7355	0.9679	5920	0.82 hr	29.20s	55.34s	84.63s
395	0.7486	0.9297	6320	0.87 hr	27.82s	55.33s	83.24s
420	0.6836	0.9296	6720	0.93 hr	28.70s	55.33s	84.12s
445	0.7036	1.0499	7120	0.98 hr	28.66s	55.32s	84.09s
470	0.7573	0.7754	7520	1.04 hr	25.41s	55.34s	80.84s
495	0.7800	0.7281	7920	1.09 hr	27.04s	55.33s	82.45s
520	0.7399	0.8471	8320	1.15 hr	27.37s	55.34s	82.79s
545	0.7835	0.7194	8720	1.20 hr	27.10s	55.34s	82.53s
570	0.8131	0.7823	9120	1.26 hr	27.43s	55.37s	82.88s
595	0.7912	0.7138	9520	1.31 hr	26.66s	55.32s	82.07s
620	0.8319	0.7250	9920	1.36 hr	27.12s	55.33s	82.53s
645	0.8308	0.6831	10320	1.42 hr	26.72s	55.33s	82.14s
670	0.8333	0.6667	10720	1.47 hr	26.83s	55.36s	82.27s
695	0.8493	0.6438	11120	1.53 hr	27.95s	55.33s	83.37s
720	0.8227	0.7388	11520	1.58 hr	27.57s	55.32s	82.96s
745	0.8500	0.5740	11920	1.64 hr	27.99s	55.34s	83.41s
770	0.8474	0.6201	12320	1.69 hr	26.84s	55.34s	82.27s
795	0.8292	0.6034	12720	1.75 hr	29.15s	55.33s	84.58s
820	0.8506	0.5563	13120	1.80 hr	25.61s	55.33s	81.02s
845	0.8574	0.5742	13520	1.86 hr	27.59s	55.33s	83.00s
870	0.8554	0.6200	13920	1.91 hr	27.83s	55.37s	83.28s
895	0.8684	0.5932	14320	1.96 hr	29.92s	55.33s	85.34s
920	0.8443	0.5603	14720	2.02 hr	27.21s	55.34s	82.63s
